model,degradation,severity,top1_accuracy,top5_accuracy,macro_precision,macro_recall,macro_f1,metrics_json,severity_numeric,clean_top1_accuracy,clean_macro_f1,top1_absolute_drop,macro_f1_absolute_drop,top1_relative_drop_pct,macro_f1_relative_drop_pct,top1_retention_pct,macro_f1_retention_pct
traditional,contrast,0.6,0.0834,0.2026,0.0942677812474748,0.0834,0.0783427897704709,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_contrast_0.6_metrics.json,0.6,0.1074,0.0981754121451276,0.023999999999999994,0.01983262237465669,22.346368715083795,20.20121122113463,77.6536312849162,79.79878877886537
traditional,contrast,0.8,0.0996,0.2274,0.0978138175773207,0.0996,0.0916079966892022,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_contrast_0.8_metrics.json,0.8,0.1074,0.0981754121451276,0.007800000000000001,0.006567415455925388,7.262569832402237,6.689470726353681,92.73743016759776,93.31052927364631
traditional,jpeg,20.0,0.0914,0.2202,0.0935131127909631,0.0914,0.0829249242578899,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_jpeg_20_metrics.json,20.0,0.1074,0.0981754121451276,0.016,0.015250487887237693,14.8975791433892,15.533917866006705,85.1024208566108,84.4660821339933
traditional,jpeg,40.0,0.1026,0.2276,0.1030930922727702,0.1026,0.0929308178230685,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_jpeg_40_metrics.json,40.0,0.1074,0.0981754121451276,0.004799999999999999,0.005244594322059093,4.469273743016759,5.342064991085835,95.53072625698324,94.65793500891417
traditional,jpeg,70.0,0.099,0.2296,0.0965681022048917,0.099,0.0893294706777795,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_jpeg_70_metrics.json,70.0,0.1074,0.0981754121451276,0.00839999999999999,0.0088459414673481,7.821229050279321,9.01034309310727,92.17877094972067,90.98965690689272
scratch,noise,0.05,0.3144,0.5698,0.3010670195106414,0.3143999999999999,0.2922898569909904,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_noise_0.05_metrics.json,0.05,0.321,0.2973469803312652,0.006599999999999995,0.005057123340274805,2.0560747663551386,1.7007481746210498,97.94392523364486,98.29925182537895
scratch,noise,0.1,0.2812,0.518,0.2920046470211998,0.2812,0.2593561876871658,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_noise_0.1_metrics.json,0.1,0.321,0.2973469803312652,0.0398,0.037990792644099436,12.398753894080997,12.776585994508856,87.601246105919,87.22341400549114
scratch,noise,0.2,0.1728,0.3564,0.2251923576553363,0.1728,0.1588112958050288,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_noise_0.2_metrics.json,0.2,0.321,0.2973469803312652,0.1482,0.1385356845262364,46.16822429906542,46.590580597757544,53.83177570093458,53.409419402242456
scratch,blur,3.0,0.3056,0.5598,0.3059256451251557,0.3056,0.2858197475106961,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_blur_3_metrics.json,3.0,0.321,0.2973469803312652,0.015400000000000025,0.011527232820569111,4.797507788162001,3.8766940924461286,95.20249221183799,96.12330590755387
scratch,blur,5.0,0.2264,0.4634,0.2770689546695484,0.2264,0.2104342419533745,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_blur_5_metrics.json,5.0,0.321,0.2973469803312652,0.09460000000000002,0.08691273837789071,29.47040498442368,29.229400036638637,70.52959501557632,70.77059996336136
scratch,blur,7.0,0.1546,0.345,0.198778902044091,0.1546,0.1346622111718621,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_blur_7_metrics.json,7.0,0.321,0.2973469803312652,0.16640000000000002,0.1626847691594031,51.8380062305296,54.71209728720331,48.1619937694704,45.28790271279669
scratch,brightness,0.4,0.2094,0.438,0.2781764739523567,0.2094,0.1962878830771779,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_brightness_0.4_metrics.json,0.4,0.321,0.2973469803312652,0.1116,0.10105909725408732,34.76635514018692,33.98692569250256,65.23364485981308,66.01307430749743
scratch,brightness,0.6,0.3028,0.5484,0.3251269929001936,0.3028,0.2863961680142732,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_brightness_0.6_metrics.json,0.6,0.321,0.2973469803312652,0.018199999999999994,0.01095081231699202,5.669781931464173,3.6828395919111245,94.33021806853583,96.31716040808888
scratch,brightness,0.8,0.3264,0.577,0.3198238135927934,0.3263999999999999,0.3055198550546317,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_brightness_0.8_metrics.json,0.8,0.321,0.2973469803312652,-0.005400000000000016,-0.008172874723366474,-1.6822429906542105,-2.748598527639771,101.6822429906542,102.74859852763979
scratch,contrast,0.4,0.1816,0.3932,0.2663943274000432,0.1815999999999999,0.1799433574384797,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_contrast_0.4_metrics.json,0.4,0.321,0.2973469803312652,0.1394,0.11740362289278553,43.426791277258566,39.48371117204208,56.57320872274143,60.51628882795792
scratch,contrast,0.6,0.285,0.5338,0.319144092200905,0.285,0.2741379289756698,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_contrast_0.6_metrics.json,0.6,0.321,0.2973469803312652,0.03600000000000003,0.023209051355595423,11.214953271028048,7.805376509873725,88.78504672897195,92.19462349012628
scratch,contrast,0.8,0.3196,0.571,0.316666521108363,0.3196,0.3000587275486104,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_contrast_0.8_metrics.json,0.8,0.321,0.2973469803312652,0.0014000000000000123,-0.002711747217345184,0.43613707165109417,-0.9119807486607426,99.5638629283489,100.91198074866074
scratch,jpeg,20.0,0.3036,0.5542,0.2940877154781595,0.3036,0.2814614764045619,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_jpeg_20_metrics.json,20.0,0.321,0.2973469803312652,0.017400000000000027,0.015885503926703293,5.4205607476635596,5.34241306537088,94.57943925233644,94.65758693462912
scratch,jpeg,40.0,0.3194,0.5712,0.3077780167375882,0.3193999999999999,0.2972565835911338,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_jpeg_40_metrics.json,40.0,0.321,0.2973469803312652,0.0015999999999999903,9.03967401313932e-05,0.4984423676012431,0.03040109572684577,99.50155763239876,99.96959890427316
scratch,jpeg,70.0,0.3208,0.5756,0.3078290292488747,0.3208,0.297856198482801,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_jpeg_70_metrics.json,70.0,0.321,0.2973469803312652,0.00020000000000003348,-0.0005092181515357619,0.06230529595016619,-0.1712538499528253,99.93769470404983,100.17125384995282
pretrained,noise,0.05,0.6316,0.8436,0.6637029071547648,0.6315999999999999,0.6278877271667098,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_noise_0.05_metrics.json,0.05,0.6824,0.6794530054050938,0.050799999999999956,0.05156527823838397,7.444314185228598,7.589233961462935,92.55568581477141,92.41076603853706
pretrained,noise,0.1,0.4738,0.7022,0.554782141461978,0.4738,0.4705069112693829,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_noise_0.1_metrics.json,0.1,0.6824,0.6794530054050938,0.2086,0.2089460941357109,30.568581477139507,30.75210389438723,69.43141852286048,69.24789610561277
pretrained,noise,0.2,0.1548,0.3172,0.3105887654113125,0.1548,0.1566436177648193,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_noise_0.2_metrics.json,0.2,0.6824,0.6794530054050938,0.5276000000000001,0.5228093876402745,77.31535756154749,76.94562883397249,22.684642438452517,23.05437116602751
pretrained,blur,3.0,0.614,0.8204,0.6450280628950187,0.614,0.613406182086253,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_blur_3_metrics.json,3.0,0.6824,0.6794530054050938,0.06840000000000002,0.06604682331884082,10.023446658851116,9.720587412732588,89.97655334114889,90.27941258726742
pretrained,blur,5.0,0.4654,0.6952,0.5295094658574773,0.4654,0.4664345146038874,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_blur_5_metrics.json,5.0,0.6824,0.6794530054050938,0.21700000000000003,0.21301849080120638,31.799531066822983,31.351467887643462,68.20046893317702,68.64853211235655
pretrained,blur,7.0,0.3298,0.5634,0.4253825314388775,0.3298,0.3312237491191164,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_blur_7_metrics.json,7.0,0.6824,0.6794530054050938,0.3526,0.3482292562859774,51.67057444314186,51.25141157898936,48.32942555685815,48.748588421010645
pretrained,brightness,0.4,0.6396,0.8386,0.6703997576431585,0.6396000000000001,0.6386792094121055,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_brightness_0.4_metrics.json,0.4,0.6824,0.6794530054050938,0.04280000000000006,0.04077379599298825,6.271981242672927,6.000973675681761,93.72801875732706,93.99902632431824
pretrained,brightness,0.6,0.6722,0.8638,0.6908258721670486,0.6722,0.6699946148890455,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_brightness_0.6_metrics.json,0.6,0.6824,0.6794530054050938,0.010199999999999987,0.009458390516048243,1.4947245017584976,1.3920595597938517,98.5052754982415,98.60794044020615
pretrained,brightness,0.8,0.6856,0.8692,0.7002555661658603,0.6856,0.6822402058687238,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_brightness_0.8_metrics.json,0.8,0.6824,0.6794530054050938,-0.0031999999999999806,-0.002787200463630013,-0.4689331770222715,-0.41021239754002825,100.46893317702228,100.41021239754002
pretrained,contrast,0.4,0.6052,0.8234,0.6617977566228403,0.6052000000000001,0.6105520198547614,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_contrast_0.4_metrics.json,0.4,0.6824,0.6794530054050938,0.07720000000000005,0.06890098555033242,11.313012895662375,10.140655056673603,88.68698710433762,89.85934494332639
pretrained,contrast,0.6,0.6612,0.8562,0.6904279436851418,0.6612,0.6616804442616417,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_contrast_0.6_metrics.json,0.6,0.6824,0.6794530054050938,0.021199999999999997,0.017772561143452048,3.1066822977725668,2.615716024812628,96.89331770222744,97.38428397518737
pretrained,contrast,0.8,0.6814,0.8674,0.6986839281719313,0.6814000000000001,0.679146394201189,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_contrast_0.8_metrics.json,0.8,0.6824,0.6794530054050938,0.0010000000000000009,0.0003066112039047386,0.14654161781946085,0.045126182600654666,99.85345838218053,99.95487381739935
pretrained,jpeg,20.0,0.6284,0.8302,0.6556040493476252,0.6284,0.6251706716317572,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_jpeg_20_metrics.json,20.0,0.6824,0.6794530054050938,0.05400000000000005,0.05428233377333658,7.913247362250885,7.989122623863168,92.08675263774911,92.01087737613683
pretrained,jpeg,40.0,0.6646,0.8562,0.6810811043531632,0.6646,0.661204619235976,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_jpeg_40_metrics.json,40.0,0.6824,0.6794530054050938,0.017800000000000038,0.018248386169117836,2.6084407971864065,2.6857466261758667,97.3915592028136,97.31425337382413
pretrained,jpeg,70.0,0.6736,0.8632,0.6878679927915222,0.6735999999999999,0.6703517909064308,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_jpeg_70_metrics.json,70.0,0.6824,0.6794530054050938,0.00880000000000003,0.009101214498662968,1.2895662368112588,1.3394913888469406,98.71043376318875,98.66050861115306
